318
0 0 0 2  -411.60287 168.48 -18433.81 -121.62 0.4 -0.18 0
0 0 0 4  0.42034 -0.39 37.65 0.57 0 0 0
0 0 1 -4  -0.08019 0.77 -7.22 -1.46 0 0 0
0 0 1 -2  39.53393 -395.24 1788.33 720.91 -2.6 0.9 0
0 0 1 0  22639.55 0 0 412529.61 0 0 0
0 0 1 2  -45.10032 17.41 -2019.78 -830.2 0.09 -0.02 0
0 0 1 4  0.09092 -0.07 8.14 1.73 0 0 0
0 0 2 -2  -1.37259 -7.58 -62.49 -50.12 -0.07 0 0
0 0 2 0  769.02326 -257.51 -47.39 28008.99 -6.83 -0.56 0
0 0 2 2  -3.99767 2.4 -178.94 -146.18 0.05 0 0
0 0 2 4  0.01297 -0.01 1.16 0.48 0 0 0
0 0 3 -2  -0.05684 0.38 -2.65 -3.13 0 0 0
0 0 3 0  36.12364 -28.42 -5.1 1972.74 -0.93 -0.08 0
0 0 3 2  -0.32866 0.32 -14.7 -17.99 0 0 0
0 0 4 -2  -0.00354 0.04 -0.17 -0.26 0 0 0
0 0 4 0  1.93367 -2.65 -0.44 140.75 -0.1 0 0
0 0 4 2  -0.02602 0.04 -1.16 -1.9 0 0 0
0 0 5 0  0.111 -0.23 -0.04 10.1 0 0 0
0 0 6 0  0.00665 -0.02 0 0.73 0 0 0
0 1 -5 0  -0.00332 -0.07 0 -0.3 -0.2 0 0
0 1 -4 0  -0.04702 -1.04 0.03 -3.42 -2.82 0 0
0 1 -3 -2  0.00623 0.14 0.28 0.34 0.37 0 0
0 1 -3 0  -0.6694 -15.55 0.38 -36.53 -40.1 -0.02 0
0 1 -2 -2  0.05165 1.17 2.29 1.89 3.09 0 0
0 1 -2 0  -9.67938 -235.29 4.9 -352.52 -579.94 -0.15 0
0 1 -2 2  0.02429 0.74 1.09 0.89 1.46 0 0
0 1 -1 -2  0.30157 6.6 13.34 5.61 18.07 0 0
0 1 -1 0  -147.32654 -3778.62 68.68 -2688.53 -8829.17 -0.76 0
0 1 -1 2  -0.08049 0.25 -3.63 -1.39 -4.82 -0.01 0
0 1 0 -2  0.07501 -6.72 3.04 0.85 4.46 0 0
0 1 0 0  -666.44186 -5206.84 258.79 -555.98 -39887.79 1.73 0
0 1 0 2  0.41342 1.5 18.15 1.19 24.72 0.01 0
0 1 1 -2  -0.08282 1.73 -3.73 -1.5 -4.95 0 0
0 1 1 0  -109.38419 -2193.78 51.64 -2018.13 -6556.1 0.54 0
0 1 1 2  0.26338 4.53 11.65 5.03 15.78 0 0
0 1 2 -2  0.02677 1.1 1.2 0.97 1.6 0 0
0 1 2 0  -7.63041 -156.07 4.09 -279.89 -457.41 0.12 0
0 1 2 2  0.04338 0.81 1.92 1.61 2.6 0 0
0 1 3 0  -0.54594 -11.18 0.34 -29.97 -32.73 0.01 0
0 1 3 2  0.00526 0.1 0.23 0.29 0.32 0 0
0 1 4 0  -0.03947 -0.8 0.03 -2.89 -2.37 0 0
0 1 5 0  -0.00287 -0.06 0 -0.26 -0.17 0 0
0 2 -3 0  -0.01514 -0.5 0.01 -0.83 -1.81 0 0
0 2 -2 0  -0.19311 -6.23 0.13 -7.04 -23.13 0 0
0 2 -1 -2  0.00473 0.12 0.21 0.09 0.57 0 0
0 2 -1 0  -2.56813 -81.06 1.44 -46.94 -307.62 0 0
0 2 0 -2  -0.00355 -0.26 -0.16 0.02 -0.42 0 0
0 2 0 0  -7.44804 -12.64 2.98 -9.32 -891.27 0.03 0
0 2 0 2  0.00519 -0.03 0.23 0.02 0.62 0 0
0 2 1 0  -1.16177 -19.75 0.43 -21.52 -139.13 0 0
0 2 1 2  0.0027 0.03 0.12 0.05 0.32 0 0
0 2 2 0  -0.06513 -0.79 0.02 -2.39 -7.8 0 0
0 2 3 0  -0.00341 0 0 -0.19 -0.41 0 0
0 3 -2 0  -0.00416 -0.15 0 -0.15 -0.75 0 0
0 3 -1 0  -0.05142 -1.82 0.03 -0.94 -9.24 0 0
0 3 0 0  -0.10136 1.16 0.04 -0.2 -18.19 0 0
0 3 1 0  -0.01796 -0.3 0 -0.33 -3.23 0 0
1 -3 0 0  0.00254 0.03 0 0 0.45 0.99 0
